[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),313,0.0923,1124.0,0.2685
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),298,0.2325,1176.0,0.09661
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),303,0.165,1170.0,0.1327
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),313,0.0933,1162.0,0.2321
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),303,0.02433,1352.0,0.6528
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),313,0.017,1341.0,0.9035
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),298,0.02975,1357.0,0.5439
[N+](CC)(CC)(CC)(CC).[B+3]1([F-])([F-])[O-]C(=O)C(=O)[O-]1,[N+](CC)(CC)(CC)(CC).[B+3]1([F-])([F-])[O-]C(=O)C(=O)[O-]1,313,0.0719,1178.0,0.3212
[N+](CC)(CC)(CC)(CC).[B+3]1([F-])([F-])[O-]C(=O)C(=O)[O-]1,[N+](CC)(CC)(CC)(CC).[B+3]1([F-])([F-])[O-]C(=O)C(=O)[O-]1,323,0.04695,1171.0,0.4746
[N+](CC)(CC)(CC)(CC).[B+3]1([F-])([F-])[O-]C(=O)C(=O)[O-]1,[N+](CC)(CC)(CC)(CC).[B+3]1([F-])([F-])[O-]C(=O)C(=O)[O-]1,333,0.03266,1163.0,0.6652
