Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
328,101.325,1419.4,ABiBRY,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C=C)N1C=[N+](C=C1)CCOC,0.0131,0.935
338,101.325,1409.9,ABiBRY,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C=C)N1C=[N+](C=C1)CCOC,0.01,1.18
348,101.325,1401.3,ABiBRY,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C=C)N1C=[N+](C=C1)CCOC,0.0082,1.475
323,101.325,1095.5,AApAfQ,1-butyl-3-methylimidazolium glycinate,NCC(=O)[O-].C(CCC)N1C=[N+](C=C1)C,0.217,0.0403
313,101.325,1101.6,AApAfQ,1-butyl-3-methylimidazolium glycinate,NCC(=O)[O-].C(CCC)N1C=[N+](C=C1)C,0.412,0.0187
303,101.325,1107.8,AApAfQ,1-butyl-3-methylimidazolium glycinate,NCC(=O)[O-].C(CCC)N1C=[N+](C=C1)C,0.86,0.0075
338,101.325,1091.5,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.0425,0.128
353,101.325,1079.4,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.0223,0.207
348,101.325,1083.5,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.0273,0.184
343,101.325,1087.4,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.0337,0.156
333,101.325,1095.6,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.0564,0.113
308,101.325,1374.0,ABbjbS,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.0672,0.1149
