src,trg,Temperature,DynViscosity,Density,ElecConductivity
CCCC[N+]1(CCCC1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCC[N+]1(CCCC1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,308,0.1222,1572.6,0.186
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,338,0.006,1082.5,6.748
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,308,0.01099,1102.2,3.745
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,318,0.00864,1095.6,4.669
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,328,0.00739,1089.0,5.674
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,288,0.0203,1115.7,2.1886
CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,348,0.00503,1076.1,7.881
CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,283,0.0604,1533.71,0.534
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,306,0.05497,1389.8,0.3825
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,300,0.07111,1395.3,0.3003
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,303,0.04132,1025.8,0.626
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,318,0.02365,1016.6,1.012
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,293,0.06314,1032.0,0.42
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,298,0.04999,1028.9,0.517
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,308,0.03378,1022.7,0.744
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,313,0.02809,1019.6,0.874
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,348,0.0101,999.0,2.014
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,323,0.02009,1013.5,1.158
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,328,0.01731,1010.5,1.317
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,333,0.01503,1007.5,1.479
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,343,0.01158,1001.6,1.83
[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),343,0.01758,1354.0,0.569
CC=1C=[N+](C=CC1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC=1C=[N+](C=CC1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,278,0.16,1467.1,0.1524
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,353,0.00903,996.0,2.202
C(CCC)N1C=[N+](C=C1)C.C(#N)C(C#N)C#N,C(CCC)N1C=[N+](C=C1)C.C(#N)C(C#N)C#N,283,0.06,1057.9,0.36
C(CCC)N1C=[N+](C=C1)C.C(#N)C(C#N)C#N,C(CCC)N1C=[N+](C=C1)C.C(#N)C(C#N)C#N,278,0.081,1061.4,0.38
CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,338,0.01315,1004.6,1.648
CC=1C=[N+](C=CC1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC=1C=[N+](C=CC1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,338,0.01397,1410.3,1.329
C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,298,0.05633,1412.2,0.341
C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,293,0.0777,1453.4,0.259
C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,293,0.0717,1416.9,0.273
C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,288,0.0933,1421.6,0.215
C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333,0.01587,1379.8,1.075
C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,283,0.1242,1426.3,0.166
C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(CCC)[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,278,0.17,1431.0,0.124
C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,288,0.1007,1458.1,0.2056
C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,298,0.06125,1448.7,0.3263
C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,283,0.1333,1462.8,0.158
C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,348,0.01191,1402.5,1.473
C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1=CC=CC=C1.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,343,0.01344,1407.0,1.275
