333,101.325,1209.1,ABNWKs,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.0993,0.17,1-methyl-3-octylimidazol-1-ium;hexafluorophosphate
288,101.325,1472.2,ABbPLY,"N-3-hydroxypropyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.OCCC[N+](CC)(C)C,0.314,0.069,bis(trifluoromethylsulfonyl)azanide;ethyl-(3-hydroxypropyl)-dimethylazanium
323,101.325,1507.8,ABkHxF,"N-ethyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCO)(CCO)CCO,0.1586,0.118,bis(trifluoromethylsulfonyl)azanide;ethyl-tris(2-hydroxyethyl)azanium
303,101.325,1367.2,ABavYa,"N-butyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+](CC)(C)C,0.0784,0.228,bis(trifluoromethylsulfonyl)azanide;butyl-ethyl-dimethylazanium
308,101.325,1421.6,ABbPWT,"N-ethyl-N,N-dimethyl-2-methoxyethylammonium bis(trifluoromethylsulfonyl)imide",CC[N+](C)(C)CCOC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0405,0.415,bis(trifluoromethylsulfonyl)azanide;ethyl-(2-methoxyethyl)-dimethylazanium
313,101.325,1501.7,ABeTqL,"N-ethyl-N-methyl-N,N-bis(2- hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCO)(CCO)C,0.1126,0.165,bis(trifluoromethylsulfonyl)azanide;ethyl-bis(2-hydroxyethyl)-methylazanium
303,101.325,1562.3,ABhXDS,"N-methyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[N+](CCO)(CCO)CCO,0.398,0.05,bis(trifluoromethylsulfonyl)azanide;tris(2-hydroxyethyl)-methylazanium
308,101.325,1447.9,ABpcYN,"N-butyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+](CCO)(CCO)CCO,0.484,0.034,bis(trifluoromethylsulfonyl)azanide;butyl-tris(2-hydroxyethyl)azanium
348,101.325,1062.96,ABJgJP,1-ethyl-3-methylimidazolium octyl sulfate,S(=O)(=O)(OCCCCCCCC)[O-].C(C)N1C=[N+](C=C1)C,0.0498,0.385,1-ethyl-3-methylimidazol-3-ium;octylsulfate
318,101.325,1132.19,AAmaCg,3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,O[C@H](C(=O)[O-])C.C(C)[N+]1=CN(C=C1)C,0.0465,0.389,1-ethyl-3-methylimidazol-1-ium;(2S)-2-hydroxypropanoate
328,101.325,1216.6,AByLAH,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCCCCCCC)N1C=[N+](C=C1)C,0.0327,0.1292,bis(trifluoromethylsulfonyl)azanide;1-dodecyl-3-methylimidazol-3-ium
338,101.325,1301.5,ABigEw,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[N+]1(CCCC1)C,0.0221,0.61,bis(trifluoromethylsulfonyl)azanide;1-hexyl-1-methylpyrrolidin-1-ium
328,101.325,1052.54,AAlxyE,1-butyl-3-methylimidazolium thiocyanate,CCCCN1C=C[N+](=C1)C.C(#N)[S-],0.01619,0.921,1-butyl-3-methylimidazol-3-ium;thiocyanate
298,101.325,1116.7,AAgcxF,1-ethyl-3-methylimidazolium thiocyanate,CCN1C=C[N+](=C1)C.C(#N)[S-],0.0245,1.874,1-ethyl-3-methylimidazol-3-ium;thiocyanate
313,101.325,1582.0,ACIwsZ,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,CCCC[N+]1(CCCC1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,0.0954,0.23,"1-butyl-1-methylpyrrolidin-1-ium;tetrafluoro-tris(1,1,2,2,2-pentafluoroethyl)phosphanuide"
333,101.325,1420.8,ABdfCl,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.COCC[N+]1(CCCC1)C,0.01709,0.705,bis(trifluoromethylsulfonyl)azanide;1-(2-methoxyethyl)-1-methylpyrrolidin-1-ium
293,101.325,1103.4,AAgmgm,1-ethyl-3-methylimidazolium acetate,CCN1C=C[N+](=C1)C.CC(=O)[O-],0.1686,0.201,1-ethyl-3-methylimidazol-3-ium;acetate
298,101.325,1420.9,ABfRIU,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,0.1022,0.23,"bis(trifluoromethylsulfonyl)azanide;1-butyl-2,3-dimethylimidazol-3-ium"
333,101.325,1512.6,ACNmrs,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCCCCCN1C=C[N+](=C1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,0.022,0.593,"1-hexyl-3-methylimidazol-3-ium;tetrafluoro-tris(1,1,2,2,2-pentafluoroethyl)phosphanuide"
333,101.325,1484.7,ABVaXa,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[NH+](C(CC)=O)C,0.02784,0.787,bis(trifluoromethylsulfonyl)azanide;dimethyl(propanoyl)azanium
318,101.325,1093.3,AAaJqR,n-butylammonium nitrate,[N+](=O)([O-])[O-].C(CCC)[NH3+],0.0482,0.848,butylazanium;nitrate
333,101.325,1529.9,ABSqrr,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[NH+](C(C)=O)C,0.03131,0.782,acetyl(dimethyl)azanium;bis(trifluoromethylsulfonyl)azanide
313,101.325,1304.9,ABnWmB,1-butyl-3-isopentylimidazolium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C=[N+](C=C1)CCC(C)C,0.0465,0.273,bis(trifluoromethylsulfonyl)azanide;1-butyl-3-(3-methylbutyl)imidazol-3-ium
333,101.325,1286.5,ABnWxS,1-butyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)CCCCC,0.0202,0.58,bis(trifluoromethylsulfonyl)azanide;1-butyl-3-pentylimidazol-3-ium
333,101.325,1343.1,ABnCIW,1-cyclopentyl-3-butylimidazolium bis((trifluoromethyl)sulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C1(CCCC1)N1C=[N+](C=C1)CCCC,0.0223,0.668,bis(trifluoromethylsulfonyl)azanide;1-butyl-3-cyclopentylimidazol-1-ium
331,101.325,1230.1,AAoJDD,1-propylpyridinium tetrafluoroborate,[B-](F)(F)(F)F.CCC[N+]1=CC=CC=C1,0.02809,1.481,1-propylpyridin-1-ium;tetrafluoroborate
